season,player,team,targets,catch_targets,receptions,drops,season_yards,yac,tds,comp_perc,on_tgt_rate,yards_per_target,yards_per_rec,yards_per_game,broken_tackles,yards_after_contact,first_downs,first_down_perc,drop_rate,rec_rating
2020,Jalen Nailor,Michigan State,57,32,26,5,515,154,4,45.61,92.30%,9.04,19.8,73.6,1,67,22,84.6,15.6,64.6
2020,Cornell Powell,Clemson,80,59,53,3,882,305,7,66.25,92.70%,11.03,16.6,73.5,4,124,35,66,5.1,122
2020,Kayshon Boutte,LSU,77,59,45,5,734,340,5,58.44,86.70%,9.53,16.3,73.4,4,190,30,66.7,8.5,106.7
2020,Taj Harris,Syracuse,104,68,58,4,733,360,5,55.77,87.70%,7.05,12.6,73.3,11,171,30,51.7,5.9,69.9
2020,Donavon Greene,Wake Forest,58,39,29,5,582,147,2,50,81.80%,10.03,20.1,72.8,6,88,20,69,12.8,89.9
2020,Mike Harley,Miami FL,85,69,57,5,799,413,7,67.06,87.50%,9.4,14,72.6,7,137,34,59.6,7.2,114.8
2020,Brevin Jordan,Miami FL,53,44,38,2,576,365,7,71.7,90.00%,10.87,15.2,72,4,159,27,71.1,4.5,146.7
2020,Keylon Stokes,Tulsa,72,53,46,3,644,181,3,63.89,93.80%,8.94,14,71.6,4,112,35,76.1,5.7,83.3
2020,Bo Melton,Rutgers,79,56,47,4,642,272,6,59.49,95.90%,8.13,13.7,71.3,9,112,28,59.6,7.1,95
2020,Kyle Williams,UNLV,54,38,35,3,426,183,2,64.81,94.30%,7.89,12.2,71,3,86,22,62.9,7.9,93.6
2020,John Metchie III,Alabama,79,66,55,3,916,371,6,69.62,83.90%,11.59,16.7,70.5,2,106,35,63.6,4.5,128.5
2020,Shi Smith,South Carolina,84,67,57,5,633,364,4,67.86,93.30%,7.54,11.1,70.3,1,82,35,61.4,7.5,100.9
2020,Tutu Atwell,Louisville,71,52,46,3,625,286,7,64.79,97.70%,8.8,13.6,69.4,1,72,28,60.9,5.8,102.1
2020,Seth Williams,Auburn,101,64,47,10,760,306,4,46.53,76.30%,7.52,16.2,69.1,8,130,35,74.5,15.6,77.2
2020,Zakhari Franklin,UTSA,85,61,49,4,689,174,7,57.65,84.20%,8.11,14.1,68.9,0,45,30,61.2,6.6,101.5
2020,Kaylon Geiger,Troy,92,71,64,6,752,389,3,69.57,92.60%,8.17,11.8,68.4,7,151,32,50,8.5,73.3
2020,Rashee Rice,SMU,79,64,48,10,683,302,5,60.76,80.70%,8.65,14.2,68.3,6,143,30,62.5,15.6,94
2020,Tyler Vaughns,USC,50,37,33,3,406,140,3,66,89.20%,8.12,12.3,67.7,0,77,22,66.7,8.1,85.9
2020,Tahj Washington,Memphis,75,52,43,3,743,352,6,57.33,89.40%,9.91,17.3,67.5,1,214,31,72.1,5.8,106.7
2020,Cole Turner,Nevada,68,57,49,6,605,136,9,72.06,92.00%,8.9,12.3,67.2,2,57,28,57.1,10.5,138.8
2020,Austin Watkins Jr.,UAB,55,38,34,0,468,105,3,61.82,89.20%,8.51,13.8,66.9,3,35,24,70.6,0,92.1
2020,Victor Tucker,Charlotte,49,40,30,1,400,118,2,61.22,87.90%,8.16,13.3,66.7,2,29,18,60,2.5,83.7
2020,Jordan Addison,Pittsburgh,89,75,60,13,662,320,4,67.42,82.90%,7.44,11,66.2,6,125,31,51.7,17.3,90.2
2020,Kawaan Baker,South Alabama,71,62,51,6,659,354,8,71.83,84.50%,9.28,12.9,65.9,13,149,25,49,9.7,132.3
2020,Jaden Walley,Mississippi State,85,65,52,7,718,302,2,61.18,84.20%,8.45,13.8,65.3,9,176,32,61.5,10.8,76.5
2020,Yusuf Ali,Middle Tennessee,48,41,37,3,457,319,2,77.08,91.90%,9.52,12.4,65.3,5,103,21,56.8,7.3,111.2
2020,Jarrin Pierce,Middle Tennessee,78,63,59,3,584,292,3,75.64,93.30%,7.49,9.9,64.9,3,117,26,44.1,4.8,103.8
2020,Billy Kemp IV,Virginia,98,74,67,2,644,328,1,68.37,98.50%,6.57,9.6,64.4,5,137,34,50.7,2.7,64.3
2020,Xavier Hutchinson,Iowa State,93,77,64,3,771,367,4,68.82,90.80%,8.29,12,64.3,9,240,35,54.7,3.9,94.9
2020,Blake Proehl,East Carolina,66,52,47,2,577,163,4,71.21,92.00%,8.74,12.3,64.1,1,65,25,53.2,3.8,105.4
2020,Justin Garrett,UTEP,59,42,39,1,513,132,3,66.1,95.10%,8.69,13.2,64.1,1,57,25,64.1,2.4,96.2
2020,George Pickens,Georgia,57,41,36,1,513,109,6,63.16,90.00%,9,14.3,64.1,2,55,24,66.7,2.4,120
2020,Anthony Schwartz,Auburn,87,63,54,8,636,490,3,62.07,88.30%,7.31,11.8,63.6,3,76,29,53.7,12.7,81.4
2020,Adrian Hardy,Louisiana Tech,60,41,33,2,440,231,4,55,86.80%,7.33,13.3,62.9,5,148,23,69.7,4.9,86.8
2020,Hunter Long,Boston College,91,68,57,4,685,194,5,62.64,84.60%,7.53,12,62.3,3,104,35,61.4,5.9,90.2
2020,Whop Philyor,Indiana,91,63,54,3,495,247,3,59.34,92.70%,5.44,9.2,61.9,9,66,27,50,4.8,80.6
2020,Emeka Emezie,NC State,70,57,47,4,738,206,5,67.14,91.70%,10.54,15.7,61.5,4,88,28,59.6,7,113.9
2020,Jadan Blue,Temple,59,46,41,2,369,164,5,69.49,92.70%,6.25,9,61.5,1,40,20,48.8,4.3,86.1
2020,Mike Woods,Arkansas,54,37,32,1,612,219,5,59.26,96.90%,11.33,19.1,61.2,2,88,24,75,2.7,114.1
2020,Cam Johnson,Vanderbilt,70,58,56,1,545,303,3,80,96.60%,7.79,9.7,60.6,4,121,27,48.2,1.7,89.6
2020,Jason Brownlee,Southern Mississippi,58,45,34,4,606,182,5,58.62,82.50%,10.45,17.8,60.6,3,83,23,67.6,8.9,101.7
2020,Juancarlos Santana,Tulsa,57,41,34,3,544,210,4,59.65,86.50%,9.54,16,60.4,5,117,24,70.6,7.3,107.6
2020,Javon McKinley,Notre Dame,58,45,42,3,717,220,3,72.41,95.10%,12.36,17.1,59.8,0,60,30,71.4,6.7,131.2
2020,Tyler Snead,East Carolina,74,58,53,2,524,242,5,71.62,92.70%,7.08,9.9,58.2,5,83,26,49.1,3.4,108.2
2020,Jayden Reed,Michigan State,54,39,34,3,407,210,3,62.96,89.50%,7.54,12,58.1,3,114,20,58.8,7.7,81.3
2020,Cornelius McCoy,Georgia State,54,40,32,5,462,163,4,59.26,84.40%,8.56,14.4,57.8,2,57,22,68.8,12.5,88.7
2020,Wan'Dale Robinson,Nebraska,65,55,51,1,461,264,1,78.46,100.00%,7.09,9,57.6,4,56,19,37.3,1.8,88.5
2020,DJ Turner,Pittsburgh,67,52,44,5,634,296,3,65.67,89.80%,9.46,14.4,57.6,6,79,26,59.1,9.6,104.9
2020,Antwan Davis,Ball State,61,47,39,3,461,152,1,63.93,85.40%,7.56,11.8,57.6,4,78,26,66.7,6.4,78.7
2020,Dazz Newsome,North Carolina,70,62,54,4,684,362,6,77.14,94.50%,9.77,12.7,57,7,97,32,59.3,6.5,135.7
2020,Ainias Smith,Texas A&M,66,52,43,2,564,329,6,65.15,89.40%,8.55,13.1,56.4,6,138,24,55.8,3.8,116
2020,Ramaud Chiaokhiao-Bowman,Northwestern,66,50,41,5,508,57,5,62.12,85.10%,7.7,12.4,56.4,2,71,29,70.7,10,104.9
2020,R.J. Sneed,Baylor,65,45,40,2,504,84,3,61.54,92.70%,7.75,12.6,56,1,66,26,65,4.4,88.2
2020,Danny Gray,SMU,49,40,33,2,448,320,4,67.35,88.60%,9.14,13.6,56,4,112,19,57.6,5,115
2020,Marvin Mims,Oklahoma,50,41,37,3,610,192,9,74,94.60%,12.2,16.5,55.5,2,33,25,67.6,7.3,137.5
2020,Josh Johnson,Tulsa,74,50,38,4,499,144,6,51.35,84.10%,6.74,13.1,55.4,1,36,20,52.6,8,88.7
2020,Winston Wright Jr,West Virginia,65,55,47,5,553,293,2,72.31,88.70%,8.51,11.8,55.3,0,97,24,51.1,9.1,108
2020,Isaiah Likely,Coastal Carolina,49,41,30,3,601,211,5,61.22,77.40%,12.27,20,54.6,7,101,26,86.7,7.3,129.7
2020,Parker Washington,Penn State,60,43,36,3,489,167,6,60,84.20%,8.15,13.6,54.3,7,78,25,69.4,7,112.4
2020,Jacob Harris,UCF,54,44,30,6,539,125,8,55.56,80.60%,9.98,18,53.9,1,39,22,73.3,13.6,114.1
2020,Tayvion Robinson,Virginia Tech,60,43,38,0,592,296,3,63.33,97.10%,9.87,15.6,53.8,2,148,21,55.3,0,105.7
2020,Charlie Kolar,Iowa State,69,54,44,4,591,146,7,63.77,85.70%,8.57,13.4,53.7,2,68,35,79.5,7.4,112.7
2020,Kylen Granson,SMU,56,41,35,5,536,269,5,62.5,85.00%,9.57,15.3,53.6,3,118,24,68.6,12.2,108.9
2020,Trevon Grimes,Florida,60,50,38,2,589,205,9,63.33,80.40%,9.82,15.5,53.5,5,88,28,73.7,4,135.3
2020,Nathaniel Dell,Houston,50,34,29,2,428,157,3,58,93.50%,8.56,14.8,53.5,1,71,21,72.4,5.9,89.4
2020,Kyle Philips,UCLA,57,44,38,1,370,154,2,66.67,94.60%,6.49,9.7,52.9,5,56,20,52.6,2.3,74.5
2020,Tre Turner,Virginia Tech,48,37,34,1,529,142,3,70.83,93.50%,11.02,15.6,52.9,2,46,26,76.5,2.7,127.9
2020,Sean Dykes,Memphis,69,55,47,1,575,245,7,68.12,95.60%,8.33,12.2,52.3,2,90,27,57.4,1.8,109.3
2020,Dillon Stoner,Oklahoma State,66,50,42,3,573,211,4,63.64,89.40%,8.68,13.6,52.1,1,57,20,47.6,6,105.2
2020,Brennan Eagles,Texas,51,35,28,3,469,127,5,54.9,82.40%,9.2,16.8,52.1,2,53,22,78.6,8.6,118.8
2020,Neil Pau'u,BYU,58,53,46,2,619,154,4,79.31,91.70%,10.67,13.5,51.6,0,62,34,73.9,3.8,126.9
2020,Kearis Jackson,Georgia,54,43,36,1,514,220,3,66.67,85.70%,9.52,14.3,51.4,1,46,23,63.9,2.3,108.1
2020,Thomas Hennigan,Appalachian State,71,52,47,1,616,188,3,66.2,91.50%,8.68,13.1,51.3,5,94,27,57.4,1.9,101.6
2020,Kwamie Lassiter II,Kansas,65,47,43,2,458,135,2,66.15,93.30%,7.05,10.7,50.9,2,54,22,51.2,4.3,96.8
2020,Keke Chism,Missouri,58,43,35,2,458,150,1,60.34,89.50%,7.9,13.1,50.9,1,49,23,65.7,4.7,83.8
2020,Jalen Wydermyer,Texas A&M,69,58,46,3,506,165,6,66.67,80.80%,7.33,11,50.6,2,81,30,65.2,5.2,117.2
2020,Keith Corbin,Houston,46,34,27,5,352,88,1,58.7,78.80%,7.65,13,50.3,2,28,19,70.4,14.7,63
2020,Damon Hazelton,Missouri,46,37,30,3,397,126,1,65.22,85.70%,8.63,13.2,49.6,8,64,18,60,8.1,99.6
2020,Travis Etienne,Clemson,61,51,48,3,588,650,2,78.69,94.00%,9.64,12.3,49,4,236,29,60.4,5.9,117.8
2020,Malik Williams,Appalachian State,65,47,42,1,539,222,3,64.62,97.50%,8.29,12.8,49,1,39,21,50,2.1,93
2020,Marcell Barbee,Texas State,72,48,40,4,584,207,10,55.56,88.40%,8.11,14.6,48.7,3,64,26,65,8.3,116
2020,Myron Mitchell,UAB,47,35,29,4,436,174,3,61.7,84.40%,9.28,15,48.4,1,39,21,72.4,11.4,104.6
2020,Reggie Todd,Troy,69,52,44,3,530,211,6,63.77,89.40%,7.68,12,48.2,6,113,28,63.6,5.8,110.2
2020,Theo Wease,Oklahoma,54,46,37,4,530,217,4,68.52,79.10%,9.81,14.3,48.2,1,53,25,67.6,8.7,117.1
2020,DJ Stubbs,Liberty,46,41,38,2,523,189,3,82.61,97.40%,11.37,13.8,47.5,3,39,22,57.9,4.9,126.7
2020,Josh Palmer,Tennessee,61,39,33,0,475,73,4,54.1,86.50%,7.79,14.4,47.5,1,51,23,69.7,0,81
2020,Joshua Moore,Texas,57,37,30,2,472,194,9,52.63,85.70%,8.28,15.7,47.2,3,60,22,73.3,5.4,105.4
2020,Brandon Bowling,Arkansas State,68,47,39,3,512,224,7,57.35,90.50%,7.53,13.1,46.5,1,38,23,59,6.4,103.3
2020,Duece Watts,Tulane,57,42,31,4,512,163,6,54.39,76.90%,8.98,16.5,46.5,1,67,23,74.2,9.5,112.6
2020,Arik Gilbert,LSU,55,44,35,2,368,139,2,63.64,89.50%,6.69,10.5,46,7,81,24,68.6,4.5,80
2020,Osirus Mitchell,Mississippi State,66,55,47,3,505,236,4,71.21,89.60%,7.65,10.7,45.9,5,81,25,53.2,5.5,81.9
2020,Kyric McGowan,Northwestern,48,39,34,3,366,137,0,70.83,88.20%,7.63,10.8,45.8,3,31,22,64.7,7.7,84.2
2020,Joshua Cephus,UTSA,88,65,58,1,547,165,5,65.91,96.60%,6.22,9.4,45.6,4,95,35,60.3,1.5,101.8
2020,Taylor Morin,Wake Forest,58,37,32,3,405,124,3,55.17,94.10%,6.98,12.7,45,0,29,21,65.6,8.1,94.4
2020,C.J. Johnson,East Carolina,49,32,19,8,405,206,6,38.78,65.50%,8.27,21.3,45,4,109,17,89.5,25,108.4
2020,Thayer Thomas,NC State,59,46,42,2,529,160,6,71.19,92.90%,8.97,12.6,44.1,3,69,28,66.7,4.3,125.6
2020,Jalen Camp,Georgia Tech,49,35,29,3,439,123,4,59.18,86.70%,8.96,15.1,43.9,0,35,20,69,8.6,90.4
2020,Josh Ali,Kentucky,76,63,54,4,473,421,1,71.05,91.10%,6.22,8.8,43,6,125,22,40.7,6.3,75.2
2020,Josh Imatorbhebhe,Illinois,46,29,22,4,297,139,3,47.83,86.40%,6.46,13.5,42.4,3,86,13,59.1,13.8,90.6
2020,Terrell Jana,Virginia,66,42,36,3,423,148,1,54.55,90.00%,6.41,11.8,42.3,2,90,21,58.3,7.1,54
2020,Tyler Page,SMU,52,45,39,4,422,329,2,75,90.50%,8.12,10.8,42.2,6,138,17,43.6,8.9,111.2
2020,CJ Lewis,Boston College,47,32,28,2,464,103,5,59.57,89.30%,9.87,16.6,42.2,1,52,22,78.6,6.3,128.3
2020,Sam Crawford Jr.,Tulsa,53,38,28,3,374,141,1,52.83,86.20%,7.06,13.4,41.6,0,50,18,64.3,7.9,66.1
2020,Bryce Ford-Wheaton,West Virginia,56,41,27,8,416,221,3,48.21,69.40%,7.43,15.4,41.6,5,78,18,66.7,19.5,83.6
2020,Branden Mack,Temple,58,34,26,5,291,119,3,44.83,86.70%,5.02,11.2,41.6,3,87,16,61.5,14.7,38
2020,CJ Windham,Middle Tennessee,49,37,31,3,331,40,3,63.27,88.60%,6.76,10.7,41.4,0,17,16,51.6,8.1,103.4
2020,Chris Pierce,Vanderbilt,53,33,25,0,371,138,5,47.17,85.70%,7,14.8,41.2,7,104,18,72,0,78.4
2020,Tony Poljan,Virginia,60,45,38,3,411,120,6,63.33,87.50%,6.85,10.8,41.1,1,63,24,63.2,6.7,116.7
2020,Corey Gammage,Marshall,56,39,35,3,409,122,4,62.5,94.40%,7.3,11.7,40.9,3,72,22,62.9,7.7,101
2020,Chase Lane,Texas A&M,47,36,29,1,409,141,2,61.7,83.30%,8.7,14.1,40.9,2,54,19,65.5,2.8,95.1
2020,Xavier Gaines,Marshall,47,33,28,2,404,199,4,59.57,89.70%,8.6,14.4,40.4,3,52,17,60.7,6.1,98.2
2020,Jermaine Burton,Georgia,54,36,27,3,404,93,3,50,86.70%,7.48,15,40.4,3,23,19,70.4,8.3,54.9
2020,Emmanuel Logan-Greene,New Mexico,47,39,31,4,278,250,0,65.96,77.10%,5.91,9,39.7,5,110,14,45.2,10.3,72.8
2020,Taysir Mack,Pittsburgh,50,32,23,4,305,95,2,46,73.30%,6.1,13.3,38.1,1,49,16,69.6,12.5,62.5
2020,Smoke Harris,Louisiana Tech,56,45,39,2,304,251,4,69.64,92.10%,5.43,7.8,38,1,100,18,46.2,4.4,91.7
2020,Jalen Wayne,South Alabama,53,39,33,1,418,71,1,62.26,93.90%,7.89,12.7,38,1,49,19,57.6,2.6,85.3
2020,Jonathan Mingo,Ole Miss,52,38,27,6,379,129,3,51.92,75.90%,7.29,14,37.9,2,95,20,74.1,15.8,55.4
2020,Xavier Lane,Western Kentucky,52,42,34,5,376,96,1,65.38,84.60%,7.23,11.1,37.6,1,39,18,52.9,11.9,93.1
2020,Michael Mayer,Notre Dame,59,45,42,3,450,205,2,71.19,93.30%,7.63,10.7,37.5,6,115,32,76.2,6.7,97.4
2020,TJ Chase,Florida Atlantic,46,29,23,3,334,60,2,50,84.60%,7.26,14.5,37.1,0,31,17,73.9,10.3,79.4
2020,Josh Pederson,Louisiana-Monroe,63,46,32,6,367,96,0,50.79,81.10%,5.83,11.5,36.7,0,36,20,62.5,13,48.8
2020,Mark Pope,Miami FL,60,45,32,5,400,194,2,53.33,73.20%,6.67,12.5,36.4,1,43,16,50,11.1,85.4
2020,Shameen Jones,Rutgers,52,37,34,1,326,121,3,65.38,94.30%,6.27,9.6,36.2,2,58,17,50,2.7,93.9
2020,Javon Ivory,Memphis,46,32,24,2,361,111,3,52.17,91.70%,7.85,15,36.1,1,60,17,70.8,6.3,90.9
2020,Eli Stove,Auburn,55,45,44,0,359,250,3,80,100.00%,6.53,8.2,35.9,2,65,17,38.6,0,104.5
2020,Jha'Quan Jackson,Tulane,51,35,32,3,431,150,8,62.75,94.10%,8.45,13.5,35.9,5,46,22,68.8,8.6,104.7
2020,Jared Smart,Hawaii,49,40,36,2,320,207,1,73.47,92.10%,6.53,8.9,35.6,6,82,18,50,5,97.3
2020,Khalil McClain,Troy,53,39,32,3,383,112,6,60.38,83.80%,7.23,12,34.8,0,44,20,62.5,7.7,112.4
2020,Anthony Queeley,Syracuse,67,43,37,4,378,112,2,55.22,90.00%,5.64,10.2,34.4,3,55,21,56.8,9.3,81.6
2020,Jeremiah Haydel,Texas State,67,45,40,3,408,239,4,59.7,92.70%,6.09,10.2,34,1,39,20,50,6.7,78.5
2020,Sam Laporta,Iowa,49,35,27,3,271,98,1,55.1,86.70%,5.53,10,33.9,0,34,16,59.3,8.6,52.3
2020,Austin Williams,Mississippi State,53,47,43,0,372,171,3,81.13,95.20%,7.02,8.7,33.8,4,67,19,44.2,0,106.9
2020,Sam James,West Virginia,53,39,31,4,300,158,2,58.49,79.50%,5.66,9.7,33.3,0,47,15,48.4,10.3,63.4
2020,Kyren Lacy,Louisiana Lafayette,51,36,28,3,364,64,4,54.9,80.60%,7.14,13,33.1,2,18,19,67.9,8.3,79.2
2020,Rico Bussey,Hawaii,48,36,30,3,262,118,1,62.5,88.20%,5.46,8.7,32.8,2,22,15,50,8.3,66.5
2020,Najee Harris,Alabama,53,48,43,2,425,421,4,81.13,95.30%,8.02,9.9,32.7,15,190,26,60.5,4.2,117.4
2020,Jake Bobo,Duke,53,39,32,3,358,170,1,60.38,91.40%,6.75,11.2,32.5,3,78,23,71.9,7.7,79
2020,Dee Wiggins,Miami FL,58,44,31,7,358,109,3,53.45,73.20%,6.17,11.5,32.5,0,19,15,48.4,15.9,75.2
2020,Jalon Calhoun,Duke,68,51,39,8,349,238,2,57.35,82.20%,5.13,8.9,31.7,6,107,18,46.2,15.7,62.7
2020,Mitchell Tinsley,Western Kentucky,69,49,43,3,377,133,4,62.32,93.20%,5.46,8.8,31.4,2,49,23,53.5,6.1,96.1
2020,Joshua Simon,Western Kentucky,55,44,33,6,370,140,3,60,82.90%,6.73,11.2,30.8,3,56,19,57.6,13.6,83.1
2020,Malik Heath,Mississippi State,61,41,37,2,307,157,3,60.66,89.50%,5.03,8.3,30.7,2,79,15,40.5,4.9,90
2020,Jah'Marae Sheread,Texas State,49,33,29,2,334,175,2,59.18,93.10%,6.82,11.5,30.4,1,59,16,55.2,6.1,76.4
2020,Malachi Carter,Georgia Tech,47,32,19,5,286,66,3,40.43,78.30%,6.09,15.1,28.6,6,41,13,68.4,15.6,55.8
2020,Cee Jay Powell,Louisiana Tech,51,41,38,2,280,219,0,74.51,94.90%,5.49,7.4,28,5,84,16,42.1,4.9,78.9
2020,Gavin Holmes,Baylor,49,38,32,4,248,136,1,65.31,93.80%,5.06,7.8,27.6,0,49,12,37.5,10.5,75.9
2020,Aron Cruickshank,Rutgers,58,46,37,3,236,151,1,63.79,88.90%,4.07,6.4,26.2,1,35,12,32.4,6.5,63.6
2020,Melquise Stovall,Hawaii,46,36,31,4,232,152,0,67.39,90.00%,5.04,7.5,25.8,5,57,13,41.9,11.1,70.2
2020,Jonathan Hodoh,Louisiana-Monroe,47,27,22,4,251,61,0,46.81,84.00%,5.34,11.4,25.1,0,27,9,40.9,14.8,45.6
2020,Isaiah Graham,Louisiana Tech,46,26,20,3,225,47,3,43.48,71.40%,4.89,11.3,25,1,32,14,70,11.5,71.4
2020,Jo'quavious Marks,Mississippi State,70,64,61,2,272,352,0,87.14,96.70%,3.89,4.5,24.7,4,94,14,23,3.1,82.9
